# Файл содержит русские синсеты, вычисляемые по данным Универсального словаря концептов UNL		
# Публикуется под СС-BY-SA		
# синсет	комментарий	список составляющих синсет UW
#		
# This file contains Russian synsets derived from the U++ UNL Universal Dictionary of Concepts		
# It is published under the terms of СС-BY-SA		
# Format:
# synset	comment	list of UWs which make up the synset		
		
аблатив,творительный падеж	"THE CASE INDICATING THE AGENT IN PASSIVE SENTENCES OR THE INSTRUMENT OR MANNER OR PLACE OF THE ACTION DESCRIBED BY THE VERB"	ablative(icl>oblique>thing)
горящий,пылающий,сверкающий	"LIGHTED WITH RED LIGHT AS IF WITH FLAMES"	ablaze(icl>adj,equ>ablaze)
в состоянии,способный	"HAVING THE NECESSARY MEANS OR SKILL OR KNOW-HOW OR AUTHORITY TO DO SOMETHING"	able(icl>adj,ant>unable)
компетентно,умело	"IN A COMPETENT CAPABLE MANNER"	ably(icl>how,equ>competently,ant>incompetently,com>able)+aptly(icl>how,equ>competently,ant>incompetently,com>apt)+competently(icl>how,ant>incompetently,com>competent)
самоотречение,самопожертвование	"RENUNCIATION OF YOUR OWN INTERESTS IN FAVOR OF THE INTERESTS OF OTHERS"	abnegation(icl>selflessness>thing)+denial(icl>selflessness>thing,equ>abnegation)+self-abnegation(icl>selflessness>thing,equ>abnegation)+self-denial(icl>selflessness>thing,equ>abnegation)+self-renunciation(icl>selflessness>thing,equ>abnegation)
аномалия,ненормальность	"AN ABNORMAL CONDITION"	abnormality(icl>condition>thing,ant>normality)
девиантное поведение,ненормальное поведение,распущенность	"BEHAVIOR THAT BREACHES THE RULE OR ETIQUETTE OR CUSTOM OR MORALITY"	abnormality(icl>misbehavior>thing)+irregularity(icl>misbehavior>thing,equ>abnormality)
аномальность,ненормальность	"MARKED STRANGENESS AS A CONSEQUENCE OF BEING ABNORMAL"	abnormality(icl>unfamiliarity>thing)
вдоль,вплотную	"CLOSE TO SMTH"	aboard(icl>along>how,obj>concrete_thing,plc<uw)
дом,жилище,жилье	"HOUSING THAT SOMEONE IS LIVING IN"	abode(icl>housing>thing,equ>dwelling)+domicile(icl>housing>thing,equ>dwelling)+dwelling(icl>housing>thing)+habitation(icl>housing>thing,equ>dwelling)
одиозный,омерзительный,отвратительный	"UNEQUIVOCALLY DETESTABLE"	abominable(icl>adj)+detestable(icl>adj,equ>abominable)+execrable(icl>adj,equ>abominable)+odious(icl>adj,equ>abominable)
гнусный,отвратительный,ужасный	"EXCEPTIONALLY BAD OR DISPLEASING"	abominable(icl>adj,equ>atrocious)+atrocious(icl>adj)+awful(icl>adj,equ>atrocious)+dreadful(icl>adj,equ>atrocious)+painful(icl>adj,equ>atrocious)+terrible(icl>adj,equ>atrocious)+unspeakable(icl>adj,equ>atrocious)
гнусно,отвратительно	"IN AN OFFENSIVE AND HATEFUL MANNER"	abominably(icl>how,equ>detestably,com>abominable)+detestably(icl>how,com>detestable)+odiously(icl>how,equ>detestably,com>odious)+repulsively(icl>how,equ>detestably,com>repulsive)
изначальный,первобытный,первоначальный	"HAVING EXISTED FROM THE BEGINNING"	aboriginal(icl>adj)+primal(icl>adj,equ>aboriginal)+primeval(icl>adj,equ>aboriginal)+primordial(icl>adj,equ>aboriginal)
делать аборт,прерывать	"TERMINATE A PREGNANCY BY UNDERGOING AN ABORTION"	abort(icl>discharge>occur,obj>thing)
безуспешный,неудачный	"FAILING TO ACCOMPLISH AN INTENDED RESULT"	abortive(icl>adj)+unsuccessful(icl>adj,equ>abortive)
грубо,около,приблизительно,примерно	"(OF QUANTITIES) IMPRECISE BUT FAIRLY CLOSE TO CORRECT"	about(icl>how,equ>approximately)+approximately(icl>how)+around(icl>how,equ>approximately)+or_so(icl>how,equ>approximately)+roughly(icl>how,equ>approximately)
около,примерно	"APPROXIMATELY"	about(icl>how,equ>approximately,obj>thing)
истирание,корразия	"EROSION BY FRICTION"	abrasion(icl>erosion>thing)+attrition(icl>erosion>thing,equ>abrasion)+corrasion(icl>erosion>thing,equ>abrasion)+detrition(icl>erosion>thing,equ>abrasion)
натертость,ссадина	"AN ABRADED AREA WHERE THE SKIN IS TORN OR WORN OFF"	abrasion(icl>wound>thing)+excoriation(icl>wound>thing,equ>abrasion)+scrape(icl>wound>thing,equ>abrasion)+scratch(icl>wound>thing,equ>abrasion)
выжимка,краткое изложение,сокращение	"A SHORTENED VERSION OF A WRITTEN WORK"	abridgement(icl>summary>thing,equ>condensation)+capsule(icl>summary>thing,equ>condensation)+condensation(icl>summary>thing)
аннулирование,аннуляция,отмена	"THE ACT OF ABROGATING"	abrogation(icl>cancellation>thing)+annulment(icl>cancellation>thing,equ>abrogation)+repeal(icl>cancellation>thing,equ>abrogation)
вдруг,внезапно,неожиданно,резко	"QUICKLY AND WITHOUT WARNING"	abruptly(icl>how,com>abrupt)+dead(icl>how,equ>abruptly,com>abrupt)+short(icl>how,equ>abruptly)+suddenly(icl>how,equ>abruptly,com>sudden)
отрывистость,резкость	"AN ABRUPT DISCOURTEOUS MANNER"	abruptness(icl>discourtesy>thing)+brusqueness(icl>discourtesy>thing,equ>abruptness)+shortness(icl>discourtesy>thing,equ>abruptness)
внезапность,поспешность	"THE QUALITY OF HAPPENING WITH HEADLONG HASTE OR WITHOUT WARNING"	abruptness(icl>haste>thing)+precipitance(icl>haste>thing,equ>abruptness)+precipitousness(icl>haste>thing,equ>abruptness)+suddenness(icl>haste>thing,equ>abruptness)
скрываться,скрыться,уходить	"LEAVE IN HASTE","RUN AWAY"	abscond(icl>flee>do,agt>thing)+absquatulate(icl>flee>do,equ>abscond,plf>thing,agt>living_thing)+bolt(icl>flee>do,equ>abscond,agt>thing)+decamp(icl>flee>do,equ>abscond,agt>thing)+go_off(icl>flee>do,equ>abscond,plt>thing,plf>thing,agt>living_thing)+make_off(icl>leave>do,plt>thing,plf>thing,agt>thing)+run_off(icl>flee>do,equ>abscond,plf>thing,agt>living_thing)
отсутствие,прогул	"FAILURE TO BE PRESENT"	absence(icl>nonattendance>thing,ant>presence)
отлучаться,отсутствовать	"GO AWAY OR LEAVE"	absent(icl>disappear>do,agt>thing,obj>concrete_thing,scn>thing)+remove(icl>disappear>do,equ>absent,agt>thing,obj>thing)
невнимательно,рассеянно	"IN AN ABSENTMINDED OR PREOCCUPIED MANNER"	absently(icl>how,com>absent)+abstractedly(icl>how,equ>absently,com>abstracted)+inattentively(icl>how,equ>absently,com>inattentive)
абсолютный,неограниченный	"NOT LIMITED BY LAW"	absolute(icl>adj)
абсолютизм,авторитаризм,деспотизм,диктатура,единовластие,сталинизм	"A FORM OF GOVERNMENT IN WHICH THE RULER IS AN ABSOLUTE DICTATOR (NOT RESTRICTED BY A CONSTITUTION OR LAWS OR OPPOSITION ETC.)"	absolutism(icl>autocracy>thing,equ>dictatorship)+authoritarianism(icl>autocracy>thing,equ>dictatorship)+despotism(icl>autocracy>thing,equ>dictatorship)+dictatorship(icl>autocracy>thing)+monocracy(icl>autocracy>thing,equ>dictatorship)+stalinism(icl>autocracy>thing,equ>dictatorship)
деспотизм,тирания,тиранство	"DOMINANCE THROUGH THREAT OF PUNISHMENT AND VIOLENCE"	absolutism(icl>dominance>thing)+despotism(icl>dominance>thing,equ>absolutism)+tyranny(icl>dominance>thing,equ>absolutism)
поглощенность,сосредоточение,сосредоточенность	"COMPLETE ATTENTION"	absorption(icl>attention>thing,equ>concentration)+concentration(icl>attention>thing)+immersion(icl>attention>thing,equ>concentration)
абсорбция,поглощение	"(PHYSICS) THE PROCESS IN WHICH INCIDENT RADIATED ENERGY IS RETAINED WITHOUT REFLECTION OR TRANSMISSION ON PASSING THROUGH A MEDIUM"	absorption(icl>natural_process>thing)
поглощение,усваивание,усвоение	"THE PROCESS OF ABSORBING NUTRIENTS INTO THE BODY AFTER DIGESTION"	absorption(icl>organic_process>thing,equ>assimilation)+assimilation(icl>organic_process>thing)
ассимилированность,ассимиляция	"THE SOCIAL PROCESS OF ABSORBING ONE CULTURAL GROUP INTO HARMONY WITH ANOTHER"	absorption(icl>social_process>thing,equ>assimilation)+assimilation(icl>social_process>thing)
воздерживаться,отказываться	"CHOOSE NOT TO CONSUME"	abstain(icl>do,agt>thing)+desist(icl>do,equ>abstain,agt>volitional_thing,obj>thing)+refrain(icl>be,equ>abstain,obj>thing,aoj>person)
непьющий,трезвенник,трезвенница	"A PERSON WHO REFRAINS FROM DRINKING INTOXICATING BEVERAGES"	abstainer(icl>person>thing)
воздержанный,сдержанный	"SELF-RESTRAINING"	abstentious(icl>adj,equ>abstinent)+abstinent(icl>adj)
красть,растаскивать,своровывать,стащить,таскать,уводить	"MAKE OFF WITH BELONGINGS OF OTHERS"	abstract(icl>steal>do,equ>pilfer,agt>thing,obj>thing)+cabbage(icl>steal>do,equ>pilfer,agt>thing,obj>thing)+filch(icl>steal>do,equ>pilfer,plf>thing,agt>volitional_thing,obj>thing)+hook(icl>steal>do,equ>pilfer,agt>thing,obj>thing)+pilfer(icl>steal>do,plf>thing,agt>volitional_thing,obj>thing)+pinch(icl>steal>do,equ>pilfer,agt>thing,obj>thing)+purloin(icl>steal>do,equ>pilfer,agt>thing,obj>thing)+snarf(icl>steal>do,equ>pilfer,agt>thing,obj>thing)+sneak(icl>steal>do,equ>pilfer,agt>thing,obj>thing)+swipe(icl>steal>do,equ>pilfer,agt>thing,obj>thing)
конспект,план,резюме,синопсис	"A SKETCHY SUMMARY OF THE MAIN POINTS OF AN ARGUMENT OR THEORY"	abstract(icl>summary>thing,equ>outline)+outline(icl>summary>thing)+precis(icl>summary>thing,equ>outline)+synopsis(icl>summary>thing,equ>outline)
невразумительный,скрытый,труднопостигаемый	"DIFFICULT TO PENETRATE"	abstruse(icl>adj)+deep(icl>adj,equ>abstruse)+recondite(icl>adj,equ>abstruse)
глубокомыслие,заумь	"WISDOM THAT IS RECONDITE AND ABSTRUSE AND PROFOUND"	abstrusity(icl>wisdom>thing,equ>reconditeness)+profoundness(icl>wisdom>thing,equ>reconditeness)+profundity(icl>wisdom>thing,equ>reconditeness)
абсурдный,безумный,бессмысленный,идиотский,нелепый,несообразный,чепуховый	"INCONGRUOUS"	absurd(icl>adj)+idiotic(icl>adj,equ>absurd)+laughable(icl>adj,equ>absurd)+ludicrous(icl>adj,equ>absurd)+nonsensical(icl>adj,equ>absurd)+preposterous(icl>adj,equ>absurd)+ridiculous(icl>adj,equ>absurd)
глупость,нелепость	"A LUDICROUS FOLLY"	absurdity(icl>folly>thing)+fatuity(icl>folly>thing,equ>absurdity)+silliness(icl>folly>thing,equ>absurdity)
абсурд,нелепость	"A MESSAGE WHOSE CONTENT IS AT VARIANCE WITH REASON"	absurdity(icl>nonsense>thing)
обзывать,оскорблять	"USE FOUL OR ABUSIVE LANGUAGE TOWARDS"	abuse(icl>attack>do,equ>insult,agt>person,obj>person)+blackguard(icl>attack>do,equ>abuse,agt>thing,obj>thing)+clapperclaw(icl>attack>do,equ>abuse,agt>volitional_thing,obj>thing)
оскорбление,поношение	"A RUDE EXPRESSION INTENDED TO OFFEND OR HURT","RUDE OR OFFENSIVE THINGS THAT SOMEONE SAYS WHEN THEY ARE ANGRY"	abuse(icl>disrespect>abstract_thing,obj>thing)+contumely(icl>disrespect>thing,equ>abuse)+insult(icl>disrespect>thing,equ>abuse)+vilification(icl>disrespect>thing,equ>abuse)
жестокое обращение,плохое обращение	"CRUEL OR INHUMANE TREATMENT","CRUEL OR VIOLENT TREATMENT OF SOMEONE"	abuse(icl>mistreatment>abstract_thing,obj>thing)+ill-treatment(icl>mistreatment>thing,equ>maltreatment)+maltreatment(icl>mistreatment>thing)
грубо обращаться,издеваться,обижать,плохо обращаться,притеснять	"TREAT BADLY"	abuse(icl>treat>do,equ>mistreat,agt>person,obj>living_thing)+ill-treat(icl>treat>do,equ>mistreat,agt>thing,obj>thing)+maltreat(icl>treat>do,equ>mistreat,agt>thing,obj>thing)+mistreat(icl>treat>do,agt>thing,obj>thing)+step(icl>treat>do,equ>mistreat,agt>thing,obj>thing)
неправильное обращение,неправильное употребление	"IMPROPER OR EXCESSIVE USE","THE USE OF SOMETHING IN A WAY THAT IT SHOULD NOT BE USED"	abuse(icl>use>abstract_thing,obj>thing)+misuse(icl>use>thing)
граничить,прилегать,располагать впритык	"LIE ADJACENT TO ANOTHER OR SHARE A BOUNDARY"	abut(icl>touch>do,equ>border,agt>thing,obj>thing)+adjoin(icl>touch>do,equ>border,agt>thing,obj>thing)+butt(icl>touch>do,equ>border,cob>thing,agt>thing,obj>thing)+edge(icl>touch>be,equ>border,cob>concrete_thing,aoj>concrete_thing)+march(icl>border>be,cao>thing,aoj>thing)
гудящий,жужжащий	"NOISY LIKE THE SOUND OF A BEE"	abuzz(icl>adj)
заглаживать,искупать,искупить	"MAKE AMENDS FOR"	aby(icl>right>do,equ>expiate,agt>thing,obj>thing)+atone(icl>right>do,equ>expiate,agt>thing,obj>thing)+expiate(icl>right>do,agt>thing,obj>thing,met>thing)
бездна,пропасть,пучина	"A BOTTOMLESS GULF OR PIT"	abysm(icl>chasm>thing,equ>abyss)+abyss(icl>chasm>thing)
Абиссиния,Эфиопия	"ETHIOPIA IS A REPUBLIC IN NORTHEASTERN AFRICA ON THE RED SEA"	abyssinia(iof>african_country>thing,equ>ethiopia)+ethiopia(iof>african_country>thing)
академический,педантичный	"MARKED BY A NARROW FOCUS ON OR DISPLAY OF LEARNING ESPECIALLY ITS TRIVIAL ASPECTS"	academic(icl>adj)+donnish(icl>adj,equ>academic)+pedantic(icl>adj,equ>academic)
академизм,схоластика	"ORTHODOXY OF A SCHOLASTIC VARIETY"	academicism(icl>traditionalism>thing,equ>scholasticism)+scholasticism(icl>traditionalism>thing)
академия,гимназия	"A SECONDARY SCHOOL (USUALLY PRIVATE)"	academy(icl>secondary_school>thing)
Акадия,Акейдия	"THE FRENCH-SPEAKING PART OF THE CANADIAN MARITIME PROVINCES"	acadia(iof>district>thing)
разгоняться,убыстряться,ускорять,ускоряться	"(TRANSITIVE) MAKE SOMETHING HAPPEN FASTER","MOVE FASTER"	accelerate(icl>occur,equ>speed_up,src>thing,obj>concrete_thing,gol>thing)+quicken(icl>intensify>occur,equ>accelerate,obj>thing)+speed(icl>expedite>do,src>thing,agt>thing,obj>thing,gol>thing)+speed_up(icl>intensify>occur,equ>accelerate,src>thing,obj>thing,gol>thing,val>thing)
разгон,ускорение	"THE ACT OF ACCELERATING"	acceleration(icl>speed>thing,ant>deceleration)
акселератор,газ,педаль акселератора	"A PEDAL THAT CONTROLS THE THROTTLE VALVE"	accelerator(icl>pedal>thing)+gas(icl>pedal>thing,equ>accelerator)+gun(icl>pedal>thing,equ>accelerator)+throttle(icl>pedal>thing,equ>accelerator)
акселератор,дроссель	"A VALVE THAT REGULATES THE SUPPLY OF FUEL TO THE ENGINE"	accelerator(icl>valve>thing)+throttle(icl>valve>thing,equ>accelerator)
акцентировать,делать упор,подчеркивать	"STRESS AS IMPORTANT","TO STRESS, SINGLE OUT AS IMPORTANT"	accent(icl>express>do,equ>stress,agt>thing,obj>thing)+accentuate(icl>express>do,equ>stress,agt>thing,obj>thing)+emphasize(icl>express>do,equ>stress,agt>person,obj>thing)+punctuate(icl>express>do,equ>stress,agt>thing,obj>thing)+stress(icl>do,equ>emphasize,agt>thing,obj>thing)
значительность,упор	"SPECIAL IMPORTANCE OR SIGNIFICANCE"	accent(icl>importance>thing,equ>emphasis)+emphasis(icl>importance>thing)
говор,диалект,идиома	"THE USAGE OR VOCABULARY THAT IS CHARACTERISTIC OF A SPECIFIC GROUP OF PEOPLE"	accent(icl>non-standard_speech>thing,equ>dialect)+dialect(icl>non-standard_speech>thing)+idiom(icl>non-standard_speech>thing,equ>dialect)
акцент,ударение,эмфазис	"THE RELATIVE PROMINENCE OF A SYLLABLE OR MUSICAL NOTE (ESPECIALLY WITH REGARD TO STRESS OR PITCH)"	accent(icl>prosody>thing,equ>stress)+emphasis(icl>prosody>thing,equ>stress)+stress(icl>accent>property,obj>syllable)
признавать,принимать	"","DECLARE TO BE TRUE","DECLARE TO BE TRUE OR VALID"	accept(icl>be,equ>admit,cob>uw,obj>uw,aoj>person)+acknowledge(icl>admit>do,agt>volitional_thing,obj>thing)+admit(icl>do,equ>acknowledge,agt>volitional_thing,obj>event)
брать,допускать,принимать	"ADMIT INTO A GROUP","ADMIT INTO A GROUP OR COMMUNITY","ALLOW TO ENTER"	accept(icl>take>do,plt>thing,obj>human)+admit(icl>allow_in>do,plt>thing,agt>person,obj>person)+take_on(icl>get>do,agt>thing,obj>thing)
подходящий,пригодный	"ADEQUATE FOR THE PURPOSE"	acceptable(icl>adj)
приемлемо,средне,терпимо	"IN AN ACCEPTABLE (BUT NOT OUTSTANDING) MANNER"	acceptably(icl>how,ant>unacceptably,com>acceptable)+so-so(icl>how,equ>acceptably,ant>unacceptably,com>acceptable)+tolerably(icl>how,equ>acceptably,ant>intolerably,com>tolerable)
доверие,принятие	"THE MENTAL ATTITUDE THAT SOMETHING IS BELIEVABLE AND SHOULD BE ACCEPTED AS TRUE"	acceptance(icl>attitude>thing,equ>credence)+credence(icl>attitude>thing)
попустительсто,терпимость,толерантность	"A DISPOSITION TO TOLERATE OR ACCEPT PEOPLE OR SITUATIONS"	acceptance(icl>permissiveness>thing,equ>toleration)+sufferance(icl>permissiveness>thing,equ>toleration)+toleration(icl>permissiveness>thing)
вход,доступ	"THE RIGHT TO ENTER"	access(icl>right>thing,equ>entree)+accession(icl>right>thing,equ>entree)+admittance(icl>right>thing,equ>entree)+entree(icl>right>thing)
доступность,наличие	"THE QUALITY OF BEING AT HAND WHEN NEEDED"	accessibility(icl>convenience>thing,equ>handiness,ant>inaccessibility)+availability(icl>convenience>thing,equ>handiness,ant>unavailability)
вспомогательный,дополнительный	"FURNISHING ADDED SUPPORT"	accessory(icl>adj)+adjunct(icl>adj,equ>accessory)+adjuvant(icl>adj,equ>accessory)+ancillary(icl>adj,equ>accessory)+appurtenant(icl>adj,equ>accessory)+auxiliary(icl>adj,equ>accessory)
аксессуар,снаряжение	"CLOTHING THAT IS WORN OR CARRIED, BUT NOT PART OF YOUR MAIN CLOTHING"	accessory(icl>clothing>thing)+accoutrement(icl>clothing>thing,equ>accessory)
аксессуар,добавление,дополнение,принадлежность	"A SUPPLEMENTARY COMPONENT THAT IMPROVES CAPABILITY"	accessory(icl>component>thing)+add-on(icl>component>thing,equ>accessory)+appurtenance(icl>component>thing,equ>accessory)+supplement(icl>component>thing,equ>accessory)
неожиданно,непредумышленно,случайно	"WITHOUT ADVANCE PLANNING"	accidentally(icl>how,equ>by_chance,ant>deliberately,com>accidental)+by_chance(icl>how)+circumstantially(icl>how,equ>by_chance)+unexpectedly(icl>how,equ>by_chance,com>unexpected)
непреднамеренно,нечаянно	"WITHOUT INTENTION"	accidentally(icl>how,equ>unintentionally,ant>deliberately,com>accidental)+unintentionally(icl>how,ant>intentionally,com>unintentional)
аплодировать,рукоплескать,хлопать	"CLAP ONE'S HANDS OR SHOUT AFTER PERFORMANCES TO INDICATE APPROVAL"	acclaim(icl>gesticulate>do,equ>applaud,agt>thing)+applaud(icl>gesticulate>do,rsn>thing,agt>person,obj>thing)+clap(icl>gesticulate>do,equ>applaud,agt>thing)+spat(icl>gesticulate>do,equ>applaud,agt>thing)
рукоплескание,шумное одобрение	"ENTHUSIASTIC APPROVAL"	acclamation(icl>approval>thing,equ>acclaim)+eclat(icl>approval>thing,equ>acclaim)+plaudit(icl>approval>thing,equ>acclaim)
знак отличия,медаль,награда	"A TANGIBLE SYMBOL SIGNIFYING APPROVAL OR DISTINCTION"	accolade(icl>symbol>thing,equ>award)+award(icl>symbol>thing)+honour(icl>symbol>thing,equ>award)
адаптировать,приспосабливать	"ADAPT OR MAKE COMPATIBLE WITH","CHANGE TO SUIT A NEW PURPOSE"	accommodate(icl>change>do,equ>adapt,cob>thing,agt>thing,obj>thing)+adapt(icl>change>do,agt>thing,obj>thing,gol>thing)
