# Русско-хинди словарь, построенный на основе многоязычной базы данных "Универсальный словарь концептов"
# Слова и глоссы хинди взяты из ворднета хинди http://www.cfilt.iitb.ac.in/wordnet/webhwn/ и словаря CFILT UWD
# Выкладывается под GPL and CC-BY-SA-NC
# Вячеслав Диконов <sdiconov@mail.ru>
#
# This file contains a Russian-Hindi dictionary derived from the "Universal Dictionary of Concepts" database
# Hindi words and glosses come from the Hindi Wordnet http://www.cfilt.iitb.ac.in/wordnet/webhwn/ and CFILT UW dictionary
# It is available under GPL and CC-BY-SA-NC licenses
# Viacheslav Dikonov <sdiconov@mail.ru>
#
абиссинец	n,мужск	अबिसीनियाई	A SMALL SLENDER SHORT-HAIRED BREED OF AFRICAN ORIGIN HAVING BROWNISH FUR WITH A REDDISH UNDERCOAT	
Абиссиния	n,женск	अबिसीनिया	ETHIOPIA IS A REPUBLIC IN NORTHEASTERN AFRICA ON THE RED SEA	
аблактировать	v	दूध छुड़ाना	GRADUALLY DEPRIVE (INFANTS AND YOUNG MAMMALS) OF MOTHER'S MILK	
аблатив	n,мужск	अपादान, पंचमी	THE CASE INDICATING THE AGENT IN PASSIVE SENTENCES OR THE INSTRUMENT OR MANNER OR PLACE OF THE ACTION DESCRIBED BY THE VERB	
абляут	n,мужск	अपश्रुति	A VOWEL WHOSE QUALITY OR LENGTH IS CHANGED TO INDICATE LINGUISTIC DISTINCTIONS (SUCH AS SING SANG SUNG SONG)	
аболиционизм	n,мужск	दासता उन्मूलन आंदोलन	THE DOCTRINE THAT CALLS FOR THE ABOLITION OF SLAVERY	
аболиционистский	a	उन्मूलनवादी	RELATING TO OR FAVORING ABOLITION, ESPECIALLY ABOLITION OF SLAVERY	
абонент	n,мужск	अनुमोदनकर्ता, ग्राहक, चंदा देने वाला, भुगतानकर्ता, योगदान करने वाला	SOMEONE WHO CONTRACTS TO RECEIVE AND PAY FOR A SERVICE OR A CERTAIN NUMBER OF ISSUES OF A PUBLICATION	
абориген	n,мужск	ऑस्ट्रेलियाई आदिवासी, ऑस्ट्रेलियाई आदिवास्	A DARK-SKINNED MEMBER OF A RACE OF PEOPLE LIVING IN AUSTRALIA WHEN EUROPEANS ARRIVED	
аборт	n,мужск	गर्भपात, गर्भपात्	TERMINATION OF PREGNANCY	
абразив	n,мужск	अपघर्षक, अपघर्षक्, अपघर्षी यंत्र	A SUBSTANCE THAT ABRADES OR WEARS DOWN	
абракадабра	n,женск	छू मंतर कालि कलंतर, छू मंतर काली कलंतर	GIBBERISH AND NONSENSE	
абреагировать	v	भाव-विरेचन करना	DISCHARGE BAD FEELINGS OR TENSION THROUGH VERBALIZATION	
абреакция	n,женск	भाव-विरेचन	(PSYCHOANALYSIS) PURGING OF EMOTIONAL TENSIONS	
абрикос	n	खूबानी	DOWNY YELLOW TO ROSY-COLORED FRUIT RESEMBLING A SMALL PEACH;ASIAN TREE HAVING CLUSTERS OF USUALLY WHITE BLOSSOMS AND EDIBLE FRUIT RESEMBLING THE PEACH	
абсолют	n,мужск	परम तत्त्व	SOMETHING THAT IS CONCEIVED TO BE ABSOLUTE	
абсолютизм	n,мужск	निरंकुशतावाद, परम तत्ववाद, स्वेच्छाचारितावाद	A FORM OF GOVERNMENT IN WHICH THE RULER IS AN ABSOLUTE DICTATOR (NOT RESTRICTED BY A CONSTITUTION OR LAWS OR OPPOSITION ETC.)	
абсолютист	n,мужск	निरंकुशतावादी, निरंकुशतावाद्, परम तत्ववादी, स्वेच्छाचारितावादी	ONE WHO ADVOCATES ABSOLUTISM	
абсолютистский	a	निरंकुशवादी, स्वेच्छाचारितावादी	PERTAINING TO THE PRINCIPLE OF TOTALITARIANISM	
абсолютно	adv	अबाध रूप से, एकदम, पूरी तरह से, पूर्णतः, पूर्णतया, बहुत ही, बिल्कुल	TOTALLY AND DEFINITELY	
абсолютность	n,женск	दृढ़ता, संपूर्णता, सुनिश्चितता	THE QUALITY OF BEING ABSOLUTE	
абсолютный	a	निरंकुश	NOT LIMITED BY LAW	
абсорбция	n,женск	अवशोषण	(CHEMISTRY) A PROCESS IN WHICH ONE SUBSTANCE PERMEATES ANOTHER	
абстрагирование	n,средн	कल्पना, खयाल, शून्यमनस्कता, संक्षेपण	THE PROCESS OF FORMULATING GENERAL CONCEPTS BY ABSTRACTING COMMON PROPERTIES OF INSTANCES	
абстрагировать	v	अलग रख् करना, विलग करना	SEPARATE  (EXPERIENCES) FROM THE EMOTIONS RELATING TO THEM	
абстрактно	adv	अनमने भाव से	IN ABSTRACT TERMS	
абстрактный	a	गूढ	EXISTING ONLY IN THE MIND	
абстракция	n,женск	अमूर्त विचार, अमूर्त विचार्, अमूर्तता	A CONCEPT OR IDEA NOT ASSOCIATED WITH ANY SPECIFIC INSTANCE	
абсурд	n,мужск	अनर्थकता, असंगति, बेतुकापन, बेवकूफी	A MESSAGE WHOSE CONTENT IS AT VARIANCE WITH REASON	
абсурдно	adv	बेतुके रूप से	IN AN ABSURD MANNER OR TO AN ABSURD DEGREE	
абсурдный	a	असंगत, ऊटपटांग, निरर्थक, बेढंग्, बेतुक्, हास्यास्पद	INCONGRUOUS	
абсцесс	n,мужск	फोड़ा, फोड़्	SYMPTOM CONSISTING OF A LOCALIZED COLLECTION OF PUS SURROUNDED BY INFLAMED TISSUE	
абсцисса	n,женск	भुज	THE VALUE OF A COORDINATE ON THE HORIZONTAL AXIS	
Абу-Даби	n,мужск	अबू धाबी	A SHEIKHDOM OF EASTERN ARABIA AND CAPITAL OF THE UNITED ARAB EMIRATES	
Абуджа	n,женск	अबूजा	CAPITAL OF NIGERIA IN THE CENTER OF THE COUNTRY	
авангард	n,мужск	अग्रगामी सैन्य टुकड़ी, अपने क्षेत्र में अग्रणी समूह	ANY CREATIVE GROUP ACTIVE IN THE INNOVATION AND APPLICATION OF NEW CONCEPTS AND TECHNIQUES IN A GIVEN FIELD (ESPECIALLY IN THE ARTS)	
авангард	n,мужск	अग्रगामी सैन्य टुकड़्, अपने क्षेत्र में अग्रणी समूह्, मोहरा, सेनाग्र, सेनामुख, हरावल	THE LEADING UNITS MOVING AT THE HEAD OF AN ARMY	
аванпост	n	दूर की बस्ती, दूरस्थ सैनिक चौकी, सीमांत बस्ती	A SETTLEMENT ON THE FRONTIER OF CIVILIZATION	
аванс	n,мужск	अग्रिम धन, अग्रिम राशि, उठावनी	an amount paid before it is earned	
аванс	n,мужск	पेशगी	MONEY PAID BEFORE THE USUAL TIME;an amount paid before it is earned	
аванс	n,мужск	पेशग्	MONEY PAID BEFORE THE USUAL TIME	
авантюра	n,женск	अभियान, शरारत, साहस कर्म, साहसिक कारनामा, साहसिक कार्य	A WILD AND EXCITING UNDERTAKING (NOT NECESSARILY LAWFUL)	
авантюристка	n,женск	साहसी महिली	A WOMAN ADVENTURER	
авантюрный	a	उत्साही, जोखिम भर्, साहसपूर्ण, साहसिक	WILLING TO UNDERTAKE OR SEEKING OUT NEW AND DARING ENTERPRISES	
авария	n,женск	खराबी	A CESSATION OF NORMAL OPERATION	
авария	n,женск	जमीन पर गिरना, दुर्घटना	A SERIOUS ACCIDENT (USUALLY INVOLVING ONE OR MORE VEHICLES)	
аватар	n	अवतरण	THE MANIFESTATION OF A HINDU DEITY (ESPECIALLY VISHNU) IN HUMAN OR SUPERHUMAN OR ANIMAL FORM	
август	n,мужск	अगस्त	THE MONTH FOLLOWING JULY AND PRECEDING SEPTEMBER	
Авеста	n	अवेस्ता, जेंद-अवेस्ता	a collection of Zoroastrian texts gathered during the 4th or 6th centuries	
авиалиния	n,женск	हवाई उद्योग	A COMMERCIAL ENTERPRISE THAT PROVIDES SCHEDULED FLIGHTS FOR PASSENGERS	
авиамаршрут	n,мужск	वायु मार्ग, वायुमार्ग	A DESIGNATED ROUTE FOLLOWED BY AIRPLANES IN FLYING FROM ONE AIRPORT TO ANOTHER	
авианалет	n	हवाई आक्रमण	A SWIFT AND VIOLENT MILITARY OFFENSIVE WITH INTENSIVE AERIAL BOMBARDMENT	
авиатор	n,мужск	विमान-चालक, विमान-चालक्	SOMEONE WHO OPERATES AN AIRCRAFT	
авизо	n,средн	अधिसूचना	A REQUEST FOR PAYMENT	
авионика	n,женск	वैमानिकी	SCIENCE AND TECHNOLOGY OF ELECTRONIC SYSTEMS AND DEVICES FOR AERONAUTICS AND ASTRONAUTICS	
авитаминоз	n,мужск	अविटामिनता	ANY OF SEVERAL DISEASES CAUSED BY DEFICIENCY OF ONE OR MORE VITAMINS	
Авраам	n,мужск	अब्राहम	A MALE GIVEN NAME	
австралийский	a	ऑस्ट्रेलियाई	OF OR RELATING TO OR CHARACTERISTIC OF AUSTRALIA OR ITS INHABITANTS	
Австралия	n,женск	ऑस्ट्रेलिया	THE SMALLEST CONTINENT;A NATION OCCUPYING THE WHOLE OF THE AUSTRALIAN CONTINENT	
австриец	n,мужск	आस्ट्रिआई	A NATIVE OR INHABITANT OF AUSTRIA	
австрийский	a	आस्ट्रिआई	OF OR RELATING TO AUSTRIA OR ITS PEOPLE OR CULTURE	
Австрия	n,женск	ऑस्ट्रिया	A MOUNTAINOUS REPUBLIC IN CENTRAL EUROPE	
автобиография	n,женск	आत्मकता, आत्मकथा	A BIOGRAPHY OF YOURSELF	
автобус	n,мужск	बस, यान	A VEHICLE CARRYING MANY PASSENGERS	
автогенез	n,мужск	अजीवात् जनन, अजीवात् जीवोत्पत्ति	A HYPOTHETICAL ORGANIC PHENOMENON BY WHICH LIVING ORGANISMS ARE CREATED FROM NONLIVING MATTER	
автозак	n	पहियेदार मेज	VAN USED BY POLICE TO TRANSPORT PRISONERS	
автократически	adv	स्वेच्छाचारी ढंग से	IN AN OVERBEARINGLY DOMINEERING MANNER	
автократический	a	स्वेच्छाचारी	CHARACTERISTIC OF AN ABSOLUTE RULER OR ABSOLUTE RULE	
автократия	n,женск	तानाशाही	A POLITICAL SYSTEM GOVERNED BY A SINGLE INDIVIDUAL	
автомагистраль	n,женск	एक्सप्रेस हाइवे	A BROAD HIGHWAY DESIGNED FOR HIGH-SPEED TRAFFIC	
автомат	n,мужск	मशीनी मानव, स्वचलित यंत्रतुल्य व्यक्ति	A MECHANISM THAT CAN MOVE AUTOMATICALLY	
автоматизация	n,женск	मशीनीकरण	THE ACT OF IMPLEMENTING THE CONTROL OF EQUIPMENT WITH ADVANCED TECHNOLOGY	
автоматизировать	v	यंत्रचालित, यंत्रचालित होना	MAKE AUTOMATIC OR CONTROL OR OPERATE AUTOMATICALLY	
автоматически	adv	अपने आप, अपनेआप	IN A REFLEX MANNER	
автомашина	n,женск	मशीन, यंट्र	A MOTOR VEHICLE WITH FOUR WHEELS	
автомобиль	n,мужск	कार, गाड़ी, मोटर-गाड़ी, वाहन, वाहन्, स्वचालित कार, स्वचालित कार्	A MOTOR VEHICLE WITH FOUR WHEELS	
автомобиль	n,мужск	मोटर	a self-propelled wheeled vehicle that does not run on rails	
автономия	n,женск	स्वायत्तता	PERSONAL INDEPENDENCE	
автономный	a	ऑफ-लाइन	NOT CONNECTED TO A COMPUTER NETWORK	
автономный	a	स्वतन्त्र, स्वायत्त	EXISTING AS AN INDEPENDENT ENTITY	
автопортрет	n,мужск	आत्मचिट्र, आत्मचिट्र्	A PORTRAIT OF YOURSELF CREATED BY YOURSELF	
автор	n,мужск	ग्रंथकार, जड़	SOMEONE WHO ORIGINATES OR CAUSES OR INITIATES SOMETHING	
автор	n,мужск	रचनाकार, लेखक	WRITES (BOOKS OR STORIES OR ARTICLES OR THE LIKE) PROFESSIONALLY (FOR PAY)	
автор дневника	n	डायरी-लेखक, डायरी-लेखक्	SOMEONE WHO KEEPS A DIARY OR JOURNAL	
авторизация	n,женск	अधिकार, अनुमति	OFFICIAL PERMISSION OR APPROVAL	
авторитаризм	n,мужск	तानाशाही, निरंकुशता, सत्तावाद	A FORM OF GOVERNMENT IN WHICH THE RULER IS AN ABSOLUTE DICTATOR (NOT RESTRICTED BY A CONSTITUTION OR LAWS OR OPPOSITION ETC.)	
авторитарный	a	रेजिमेंट का, रेजिमेंट क्	BELONGING TO OR CONCERNING A REGIMENT	
авторитет	n,мужск	अधिकारी, विशेषज्ञ	AN EXPERT WHOSE VIEWS ARE TAKEN AS DEFINITIVE	
авторитет	n,мужск	प्रभुत्व, प्रभुत्व्	ONE HAVING POWER TO INFLUENCE ANOTHER	
авторитетно	adv	अधिकारतः, अधिकारपूर्वक, आधिकारिक रूप से, साधिकार	IN AN AUTHORITATIVE MANNER	
авторитетный	a	अधिकारपूर्ण, आधिकारिक, बाइख्तियार, साधिकार	OF RECOGNIZED AUTHORITY OR EXCELLENCE	
авторство	n,средн	लेखक-कार्य	THE ACT OF CREATING WRITTEN WORKS	
авторша	n,женск	लेखिका	A WOMAN AUTHOR	
автостоянка	n,мужск	गाड़ी खड़े करने का स्थान	A LOT WHERE CARS ARE PARKED	
автострада	n,женск	एक्सप्रेस हाइवे, द्रुतमार्ग्, मोट्र का चौड़ा रस्ता, रास्ता	A BROAD HIGHWAY DESIGNED FOR HIGH-SPEED TRAFFIC	
автотранспортный	a	वाहनीय	OF OR RELATING TO OR INTENDED FOR (MOTOR) VEHICLES	
автохтон	n,мужск	मूल निवासी, मूल-निवासी, मूलनिवासी	THE EARLIEST KNOWN INHABITANTS OF A REGION	
автохтонный	a	स्थानिक	ORIGINATING WHERE IT IS FOUND	
агава	n,женск	अगावे पौधा	TROPICAL AMERICAN PLANTS WITH BASAL ROSETTES OF FIBROUS SWORD-SHAPED LEAVES AND FLOWERS IN TALL SPIKES	
агат	n,мужск	अकीक, गोमेद, गोमेद्, सुलेमानी पत्थर	AN IMPURE FORM OF QUARTZ CONSISTING OF BANDED CHALCEDONY	
Агахан	n	अगहन	the ninth month of the Hindu calendar	
агент	n,мужск	अभिकर्ता, गुप्तचर	A REPRESENTATIVE WHO ACTS ON BEHALF OF OTHER PERSONS OR ORGANIZATIONS	
агент	n,мужск	कर्ता, कर्तु	THE SEMANTIC ROLE OF THE ANIMATE ENTITY THAT INSTIGATES OR CAUSES THE HAPPENING DENOTED BY THE VERB IN THE CLAUSE	
агент	n,мужск	दलाल	A BUSINESSMAN WHO BUYS OR SELLS FOR ANOTHER IN EXCHANGE FOR A COMMISSION	
агентство	n,средн	एजेन्सी, एजेन्स्, संस्था	A BUSINESS THAT SERVES OTHER BUSINESSES	
агитатор	n,мужск	आंदोलनकर्ता, आन्दोलक	ONE WHO AGITATES	
агитировать	v	प्रचार करना	SUBJECT TO PROPAGANDA	
агитировать	v	लड़ना	EXERT ONESELF CONTINUOUSLY, VIGOROUSLY, OR OBTRUSIVELY TO GAIN AN END OR ENGAGE IN A CRUSADE FOR A CERTAIN CAUSE OR PERSON	
агломерация	n,женск	ढेर, संकुलन्	THE ACT OF COLLECTING IN A MASS	
агнец	n,мужск	मेमना	YOUNG SHEEP	
Агни	n	अग्नि	(Sanskrit) god of fire in ancient and traditional India	
агностицизм	n,мужск	अज्ञेयवाद	THE DISBELIEF IN ANY CLAIMS OF ULTIMATE KNOWLEDGE	
агорафобия	n,женск	खुली जगहों का डर, खुले द्थान का भय	A MORBID FEAR OF OPEN SPACES (AS FEAR OF BEING CAUGHT ALONE IN SOME PUBLIC PLACE)	
Агра	n,мужск	आगरा शहर	A CITY IN NORTHERN INDIA	
аграмматичный	a	अव्याकरणिक	NOT GRAMMATICAL	
аграрный	a	कृषि-संबंधी	RELATING TO RURAL MATTERS	
Аграхаян	n	अगहन	the ninth month of the Hindu calendar	
агрегирование	n,средн	एकत्रीकरण, संग्रह	THE ACT OF GATHERING SOMETHING TOGETHER	
агрегировать	v	एकत्र करना, संग्रह करना	GATHER IN A MASS, SUM, OR WHOLE	
агрессивно	adv	आक्रामकता से	IN AN AGGRESSIVE MANNER	
агрессивность	n,женск	आक्रामकता	A FEELING OF HOSTILITY THAT AROUSES THOUGHTS OF ATTACK;THE QUALITY OF BEING BOLD AND ENTERPRISING	
агрессивность	n,женск	कलहप्रियता, झगड़ालूपन	A NATURAL DISPOSITION TO BE HOSTILE	
агрессивность	n,женск	प्रचंडता	A FEELING OF HOSTILITY THAT AROUSES THOUGHTS OF ATTACK	
агрессивный	a	अभिसारी, आक्रामक	CHARACTERISTIC OF AN ENEMY OR ONE EAGER TO FIGHT	
агрессия	n,женск	आक्रमण	VIOLENT ACTION THAT IS HOSTILE AND USUALLY UNPROVOKED	
агрессор	n,мужск	आकारमक, आक्रमणकारी	SOMEONE WHO ATTACKS	
агроном	n,мужск	कृषि विज्ञानिक, कृषि विज्ञानिक्, कृषि शास्त्री, कृषिशास्त्री, सस्य-विज्ञानी	AN EXPERT IN SOIL MANAGEMENT AND FIELD-CROP PRODUCTION	
агрономия	n,женск	कृषि विज्ञान, कृषि-विज्ञान, सस्य-विज्ञान	THE APPLICATION OF SOIL AND PLANT SCIENCES TO LAND MANAGEMENT AND CROP PRODUCTION	
агрофирма	n	कृषि-उद्योग	A LARGE-SCALE FARMING ENTERPRISE	
ад	n,мужск	कोलाहल	A STATE OF EXTREME CONFUSION AND DISORDER	
ад	n,мужск	नरक	ANY PLACE OF PAIN AND TURMOIL;(CHRISTIANITY) THE ABODE OF SATAN AND THE FORCES OF EVIL	
адажио	n,средн	धीमी लय का संगीत	(MUSIC) A COMPOSITION PLAYED IN ADAGIO TEMPO (SLOWLY AND GRACEFULLY)	
Адам	n,мужск	आदम	(OLD TESTAMENT) IN JUDEO-CHRISTIAN MYTHOLOGY	
адаптер	n,мужск	अनुकूलक	DEVICE THAT ENABLES SOMETHING TO BE USED IN A WAY DIFFERENT FROM THAT FOR WHICH IT WAS INTENDED OR MAKES DIFFERENT PIECES OF APPARATUS COMPATIBLE	
адаптировать	v	अनुकूल बनाना	ADAPT OR MAKE COMPATIBLE WITH	
адвербиальный	a	क्रिया-विशेषणात्मक	OF OR RELATING TO OR FUNCTIONING AS AN ADVERB	
адвокат	n,мужск	अधिवक्ता	A PROFESSIONAL PERSON AUTHORIZED TO PRACTICE LAW;A LAWYER WHO PLEADS CASES IN COURT	
адвокат	n,мужск	कानून का प्ंअडित्, कानूनपेश्, वकील्	A PROFESSIONAL PERSON AUTHORIZED TO PRACTICE LAW	
адвокат	n,мужск	ग्रीष्म-शिविर संचालक, परामर्शदाता, महाधिवक्ता, वकीळ	A LAWYER WHO PLEADS CASES IN COURT	
адвокат	n,мужск	वकील	A LAWYER WHO PLEADS CASES IN COURT;A PROFESSIONAL PERSON AUTHORIZED TO PRACTICE LAW	
адвокат	n,мужск	विधिवक्ता	A BRITISH LAWYER WHO SPEAKS IN THE HIGHER COURTS OF LAW	
адгезив	n	चिपकाने वाला पदार्थ	A SUBSTANCE THAT UNITES OR BONDS SURFACES TOGETHER	
адгезия	n,женск	चिपकाव, लगाव	THE PROPERTY OF STICKING TOGETHER (AS OF GLUE AND WOOD) OR THE JOINING OF SURFACES OF DIFFERENT COMPOSITION	
аддиктивный	a	व्यसनकारी	CAUSING OR CHARACTERIZED BY ADDICTION	
Аддис-Абеба	n,женск	आदिस अबाबा	THE CAPITAL OF ETHIOPIA AND THE COUNTRY'S LARGEST CITY	
адекватно	adv	पर्याप्त रूप में	IN AN ADEQUATE MANNER	
адекватно	adv	पर्याप्त रूप से	IN AN ADEQUATE MANNER OR TO AN ADEQUATE DEGREE;IN AN ADEQUATE MANNER	
адекватность	n	पर्याप्तता	THE QUALITY OF BEING ABLE TO MEET A NEED SATISFACTORILY: HE QUESTIONED THE ADEQUACY OF THE USUAL SENTIMENTAL INTERPRETATION OF THE GOLDEN RULE	
аденоид	n,мужск	अँठली, अंठी, आँटी, कंठ शालूक, कंठ शालूक्, गंड, गिलटी, गिल्टी	A COLLECTION OF LYMPHATIC TISSUE IN THE THROAT BEHIND THE UVULA (ON THE POSTERIOR WALL AND ROOF OF THE NASOPHARYNX)	
адиантум	n,мужск	पर्णांग, पर्णांग्	ANY OF VARIOUS SMALL TO LARGE TERRESTRIAL FERNS OF THE GENUS ADIANTUM HAVING DELICATE PALMATELY BRANCHED FRONDS	
Ади Грантх	n	गुरबानी, ग्रंथ साहिब	the principal sacred text of Sikhism contains hymns and poetry as well as the teachings of the first five gurus	
Адити	n	अदिति	a Hindu goddess who releases from sin or disease	
Адитья	n	आदित्य	one of 7 to 12 sons of Aditi	
административный	a	प्रशासनिक	OF OR RELATING TO OR RESPONSIBLE FOR ADMINISTRATION	
администратор	n,мужск	अधिष्ठाता	A PERSON RESPONSIBLE FOR THE ADMINISTRATION OF A BUSINESS	
администрация	n,женск	प्रशासन, शासन	THE PERSONS (OR COMMITTEES OR DEPARTMENTS ETC.) WHO MAKE UP A BODY FOR THE PURPOSE OF ADMINISTERING SOMETHING	
администрирование	n,средн	प्रशासन्	THE ACTIVITIES THAT ARE INVOLVED IN MANAGING THE WORK OF A COMPANY OR ORGANIZATION	
адмиралтейство	n,средн	नौसेना-विभाग	THE DEPARTMENT IN CHARGE OF THE NAVY (AS IN GREAT BRITAIN)	
адреналин	n,мужск	ऐड्रिनलिन	A CATECHOLAMINE SECRETED BY THE ADRENAL MEDULLA IN RESPONSE TO STRESS (TRADE NAME ADRENALIN)	
адрес	n	ऐड्रेस	(COMPUTER SCIENCE) THE CODE THAT IDENTIFIES WHERE A PIECE OF INFORMATION IS STORED	
адресат	n,мужск	पानेवाला, पानेवाल्, प्रेषिती	ONE TO WHOM SOMETHING IS ADDRESSED	
Адриатика	n,женск	एड्रिएटिक सागर	AN ARM OF THE MEDITERRANEAN BETWEEN SLOVENIA AND CROATIA AND MONTENEGRO AND ALBANIA ON THE EAST AND ITALY ON THE WEST	
адски	adv	अत्यधिक	EXTREMELY	
адский	a	पापाधम	EXTREMELY EVIL OR CRUEL	
адхок	adv	अनौपचारिक रूप से, तदर्थ	FOR ONE SPECIFIC CASE	
адхоковый	a	तदर्थ	FOR OR CONCERNED WITH ONE SPECIFIC PURPOSE	
адъективно	adv	विशेषण के रूप में	AS AN ADJECTIVE	
адъективный	a	विशेषणात्मक	OF OR RELATING TO OR FUNCTIONING AS AN ADJECTIVE	
адъютант	n,мужск	परिसहायक, सहायक, सहायक सैनिक अधिकारी	AN OFFICER WHO ACTS AS MILITARY ASSISTANT TO A MORE SENIOR OFFICER	
адьютант	n	सहायक सैनिक अधिकारी	AN OFFICER WHO ACTS AS MILITARY ASSISTANT TO A MORE SENIOR OFFICER	
азалия	n,женск	अजेलिआ, अजेलिया	ANY OF NUMEROUS ORNAMENTAL SHRUBS GROWN FOR THEIR SHOWY FLOWERS OF VARIOUS COLORS	
азартно	adv	उत्तेजित हो कर	IN AN EXCITED MANNER	
азартно	adv	बिना विचारे, लापरवाही से	IN A RECKLESS MANNER	
азбука	n,женск	प्राथमिक ज्ञान	THE ELEMENTARY STAGES OF ANY SUBJECT (USUALLY PLURAL)	
Азербайджан	n,мужск	अजरबैजान	A LANDLOCKED REPUBLIC IN SOUTHWESTERN ASIA	
азербайджанский	a	अजरबैजानी	OF OR PERTAINING TO AZERBAIJAN OR THE PEOPLE OR CULTURE OF AZERBAIJAN	
азербайджанский	n	अजेरी	THE TURKIC LANGUAGE SPOKEN BY THE AZERBAIJANI	
азерский	n	अजेरी	THE TURKIC LANGUAGE SPOKEN BY THE AZERBAIJANI	
азиат	n,мужск	एशिया वासी, एशियावासी, एशियावास्	A NATIVE OR INHABITANT OF ASIA	
азиатский	a	एशियाई	OF OR RELATING TO OR CHARACTERISTIC OF ASIA OR THE PEOPLES OF ASIA OR THEIR LANGUAGES OR CULTURE	
азиатский буйвол	n	अश्वारि	upland buffalo of eastern Asia where true water buffaloes do not thrive	
азимут	n	दिगंश, दिगंशअ	THE AZIMUTH OF A CELESTIAL BODY IS THE ANGLE BETWEEN THE VERTICAL PLANE CONTAINING IT AND THE PLANE OF THE MERIDIAN	
Азия	n,женск	एशिया महाद्वीप	THE LARGEST CONTINENT WITH 60% OF THE EARTH'S POPULATION	
азот	n,мужск	नाइट्रोजन	A COMMON NONMETALLIC ELEMENT THAT IS NORMALLY A COLORLESS ODORLESS TASTELESS INERT DIATOMIC GAS	
азотемия	n,женск	ऐजोटीमिया	ACCUMULATION IN THE BLOOD OF NITROGENOUS WASTE PRODUCTS (UREA) THAT ARE USUALLY EXCRETED IN THE URINE	
азотистый	a	नाइट्रिक	OF OR CONTAINING NITROGEN	
азотный	a	नाइट्रिक	OF OR CONTAINING NITROGEN	
азы	n,мужск	प्राथमिक ज्ञान, वर्णमाला	THE ELEMENTARY STAGES OF ANY SUBJECT (USUALLY PLURAL)	
а именно	adv	जैसे कि, यथा	AS FOLLOWS	
аир	n,мужск	उग्रगंधा	PERENNIAL MARSH PLANT HAVING SWORDLIKE LEAVES AND AROMATIC ROOTS	
аир	n,мужск	पिच्छाक्ष	THE AROMATIC ROOT OF THE SWEET FLAG USED MEDICINALLY	
аист	n	धनेश, स्टर्क्	LARGE MOSTLY EURASIAN WADING BIRDS TYPICALLY HAVING WHITE-AND-BLACK PLUMAGE	
айва	n,женск	क्विंस वृक्ष्	SMALL ASIAN TREE WITH PINKISH FLOWERS AND PEAR-SHAPED FRUIT	
айрон	n	आयरन	A GOLF CLUB THAT HAS A RELATIVELY NARROW METAL HEAD	
айсберг	n,мужск	हिमशैल	A LARGE MASS OF ICE FLOATING AT SEA	
айстедвод	n	कला-प्रतियोगिता	ANY OF SEVERAL ANNUAL WELSH FESTIVALS INVOLVING ARTISTIC COMPETITIONS (ESPECIALLY IN SINGING)	
айти	n	आई टी, आईटी	the branch of engineering that deals with the use of computers and telecommunications to retrieve and store and transmit information	
айя	n	आया	AN INDIAN NURSEMAID WHO LOOKS AFTER CHILDREN	
академизм	n,мужск	शास्त्रीय रूढ़िवादिता, शास्त्रीयता, सैद्धांतिक शिक्षावाद	ORTHODOXY OF A SCHOLASTIC VARIETY	
